C;Day-Ahead Energy Market Historical Offer Report;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C;Filename: hbdayaheadenergyoffer_20230520.csv;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C;Report for: 05/20/2023 - 05/20/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C;Report generated: 09/01/2023 14:43:48 EDT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H;Day;Trading Interval;Masked Lead Participant ID;Masked Asset ID;Must Take Energy;Maximum Daily Energy Available;Economic Maximum;Economic Minimum;Cold Startup Price;Intermediate Startup Price;Hot Startup Price;No Load Price;Segment 1 Price;Segment 1 MW;Segment 2 Price;Segment 2 MW;Segment 3 Price;Segment 3 MW;Segment 4 Price;Segment 4 MW;Segment 5 Price;Segment 5 MW;Segment 6 Price;Segment 6 MW;Segment 7 Price;Segment 7 MW;Segment 8 Price;Segment 8 MW;Segment 9 Price;Segment 9 MW;Segment 10 Price;Segment 10 MW;Claim 10;Claim 30;Unit Status
H;Date;String;Number;Number;Number;Number;Number;Number;$;$;$;$;$;MW;$;MW;$;MW;$;MW;$;MW;$;MW;$;MW;$;MW;$;MW;$;MW;MW;MW;String
D;05/20/2023;1;20720;40320;0;0;93.5;93.5;7742.7;7742.7;7742.7;1608.89;46.36;93.5;;;;;;;;;;;;;;;;;;;0;87;MUST_RUN
D;05/20/2023;2;20720;40320;0;0;93.5;93.5;7742.7;7742.7;7742.7;1608.89;46.36;93.5;;;;;;;;;;;;;;;;;;;0;87;MUST_RUN
D;05/20/2023;3;20720;40320;0;0;93.5;93.5;7742.7;7742.7;7742.7;1608.89;46.36;93.5;;;;;;;;;;;;;;;;;;;0;87;MUST_RUN
D;05/20/2023;4;20720;40320;0;0;93.5;93.5;7742.7;7742.7;7742.7;1608.89;46.36;93.5;;;;;;;;;;;;;;;;;;;0;87;MUST_RUN
D;05/20/2023;5;20720;40320;0;0;93.5;93.5;7742.7;7742.7;7742.7;1608.89;46.36;93.5;;;;;;;;;;;;;;;;;;;0;87;MUST_RUN
D;05/20/2023;6;20720;40320;0;0;93.5;93.5;7742.7;7742.7;7742.7;1608.89;46.36;93.5;;;;;;;;;;;;;;;;;;;0;87;MUST_RUN
D;05/20/2023;7;20720;40320;0;0;93.5;93.5;7742.7;7742.7;7742.7;1608.89;46.36;93.5;;;;;;;;;;;;;;;;;;;0;87;MUST_RUN
D;05/20/2023;8;20720;40320;0;0;93.5;93.5;7742.7;7742.7;7742.7;1608.89;46.36;93.5;;;;;;;;;;;;;;;;;;;0;87;MUST_RUN
D;05/20/2023;9;20720;40320;0;0;93.5;93.5;7742.7;7742.7;7742.7;1608.89;46.36;93.5;;;;;;;;;;;;;;;;;;;0;87;MUST_RUN
D;05/20/2023;10;20720;40320;0;0;93.5;93.5;7742.7;7742.7;7742.7;1608.89;46.36;93.5;;;;;;;;;;;;;;;;;;;0;87;MUST_RUN
D;05/20/2023;11;20720;40320;0;0;93.5;93.5;7742.7;7742.7;7742.7;1608.89;46.36;93.5;;;;;;;;;;;;;;;;;;;0;87;MUST_RUN
D;05/20/2023;12;20720;40320;0;0;93.5;93.5;7742.7;7742.7;7742.7;1608.89;46.36;93.5;;;;;;;;;;;;;;;;;;;0;87;MUST_RUN
D;05/20/2023;13;20720;40320;0;0;93.5;93.5;7742.7;7742.7;7742.7;1608.89;46.36;93.5;;;;;;;;;;;;;;;;;;;0;87;MUST_RUN
D;05/20/2023;14;20720;40320;0;0;93.5;93.5;7742.7;7742.7;7742.7;1608.89;46.36;93.5;;;;;;;;;;;;;;;;;;;0;87;MUST_RUN
D;05/20/2023;15;20720;40320;0;0;93.5;93.5;7742.7;7742.7;7742.7;1608.89;46.36;93.5;;;;;;;;;;;;;;;;;;;0;87;MUST_RUN
D;05/20/2023;16;20720;40320;0;0;93.5;93.5;7742.7;7742.7;7742.7;1608.89;46.36;93.5;;;;;;;;;;;;;;;;;;;0;87;MUST_RUN
D;05/20/2023;17;20720;40320;0;0;93.5;93.5;7742.7;7742.7;7742.7;1608.89;46.36;93.5;;;;;;;;;;;;;;;;;;;0;87;MUST_RUN
D;05/20/2023;18;20720;40320;0;0;93.5;93.5;7742.7;7742.7;7742.7;1608.89;46.36;93.5;;;;;;;;;;;;;;;;;;;0;87;MUST_RUN
D;05/20/2023;19;20720;40320;0;0;93.5;93.5;7742.7;7742.7;7742.7;1608.89;46.36;93.5;;;;;;;;;;;;;;;;;;;0;87;MUST_RUN
D;05/20/2023;20;20720;40320;0;0;93.5;93.5;7742.7;7742.7;7742.7;1608.89;46.36;93.5;;;;;;;;;;;;;;;;;;;0;87;MUST_RUN
D;05/20/2023;21;20720;40320;0;0;93.5;93.5;7742.7;7742.7;7742.7;1608.89;46.36;93.5;;;;;;;;;;;;;;;;;;;0;87;MUST_RUN
D;05/20/2023;22;20720;40320;0;0;93.5;93.5;7742.7;7742.7;7742.7;1608.89;46.36;93.5;;;;;;;;;;;;;;;;;;;0;87;MUST_RUN
D;05/20/2023;23;20720;40320;0;0;93.5;93.5;7742.7;7742.7;7742.7;1608.89;46.36;93.5;;;;;;;;;;;;;;;;;;;0;87;MUST_RUN
D;05/20/2023;24;20720;40320;0;0;93.5;93.5;7742.7;7742.7;7742.7;1608.89;46.36;93.5;;;;;;;;;;;;;;;;;;;0;87;MUST_RUN
T;8520 lines;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
